Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,3568,FUSE_3568,111.18,-81.2,0.0,top
F10,3568,FUSE_3568,146.14,-101.1,0.0,top
F11,3568,FUSE_3568,163.64,-101.1,0.0,top
F12,3568,FUSE_3568,181.14,-101.1,0.0,top
F13,3568,FUSE_3568,198.64,-101.1,0.0,top
F14,3568,FUSE_3568,216.185476,-101.1,0.0,top
F2,3568,FUSE_3568,128.68,-81.2,0.0,top
F3,3568,FUSE_3568,146.18,-81.2,0.0,top
F4,3568,FUSE_3568,163.68,-81.2,0.0,top
F5,3568,FUSE_3568,181.18,-81.2,0.0,top
F6,3568,FUSE_3568,198.68,-81.2,0.0,top
F7,3568,FUSE_3568,216.185476,-81.2,0.0,top
F8,3568,FUSE_3568,111.14,-101.1,0.0,top
F9,3568,FUSE_3568,128.64,-101.1,0.0,top
J1,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,111.22,-73.2,0.0,top
J10,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,146.18,-93.1,0.0,top
J11,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,163.68,-93.1,0.0,top
J12,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,181.18,-93.1,0.0,top
J13,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,198.68,-93.1,0.0,top
J14,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,216.185476,-93.1,0.0,top
J17,MX150_02x10_RightAngle,CONN_SD-34829-001_20_ST_MOL,93.31,-87.250005,90.0,bottom
J2,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,128.72,-73.2,0.0,top
J3,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,146.22,-73.2,0.0,top
J4,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,163.72,-73.2,0.0,top
J5,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,181.22,-73.2,0.0,top
J6,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,198.72,-73.2,0.0,top
J7,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,216.185476,-73.2,0.0,top
J8,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,111.18,-93.1,0.0,top
J9,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,128.68,-93.1,0.0,top
